Time,1ALTE,1BLTE,1CLTE,2ALTE,3ALTE,3BLTE,3CLTE,4ALTE,4BLTE,4CLTE,5ALTE,5BLTE,5CLTE
2015-11-25 00:00:00.0,35.781802,80.374664,34.240652,0.007672,12.787256,38.177963,2.076978,18.091528,23.030171,214.698228,20.16116,18.788416,23.468702
2015-11-25 00:15:00.0,47.940021,110.207502,51.721477,0,39.585949,76.519919,0.620044,22.792679,248.202486,146.157665,19.112069,40.215107,4.493728
2015-11-25 00:30:00.0,54.298403,17.98707,153.325682,0,64.434302,53.173272,0.144542,28.779074,234.15701,57.227982,19.427713,17.626179,2.813226
2015-11-25 00:45:00.0,30.194526,59.055665,114.810462,0.04181,15.704739,100.235774,16.310054,51.99698,92.348429,113.849527,23.695973,22.149066,20.285077
2015-11-25 01:00:00.0,33.429692,26.10827,156.162397,0.01287,37.943683,85.30339,19.070882,76.109536,40.565735,81.605691,10.087065,3.702143,4.573493
2015-11-25 01:15:00.0,15.330406,31.432959,85.560821,0,27.161279,49.16662,1.767473,24.515897,41.410532,90.988912,15.337277,2.266035,0.892111
2015-11-25 01:30:00.0,5.866498,22.895359,31.499981,0,6.413921,16.277152,7.06699,12.251949,27.672004,22.882437,18.438684,1.255381,13.400546
2015-11-25 01:45:00.0,26.800992,9.223708,31.337947,0,65.385464,28.200865,3.910967,19.676502,34.8877,55.993149,18.945926,25.829005,24.079616
2015-11-25 02:00:00.0,109.384615,14.834095,111.033382,0,54.657976,78.786179,1.115102,59.832019,12.674566,45.769831,19.452167,20.624612,24.628656
2015-11-25 02:15:00.0,84.271068,1.217339,20.373424,0.001368,24.27983,57.149999,0.339599,4.683081,16.361327,28.080531,46.520922,6.834869,0.519128
2015-11-25 02:30:00.0,151.5296,0.513954,103.345126,0,24.541221,13.795516,0.335616,0.215442,15.792353,84.061025,10.441856,0.416657,2.585535
2015-11-25 02:45:00.0,49.810312,17.938493,41.726819,0,25.08291,14.68208,0.338157,3.27933,54.742036,15.981485,4.557802,5.192094,1.518356
2015-11-25 03:00:00.0,243.03227,1.412888,12.565411,0,7.07223,11.354873,0.295187,0.94956,3.899662,12.835731,13.367691,7.217167,1.664418
2015-11-25 03:15:00.0,458.166584,13.717354,7.455396,0,35.660738,7.830643,0.255441,7.900574,5.438823,108.16272,0.258718,0.510648,0.468906
2015-11-25 03:30:00.0,393.698959,30.656548,7.857058,0.002149,6.644641,2.50932,0.112245,0.256181,25.661779,0.587754,0.476231,0.492271,1.469506
2015-11-25 03:45:00.0,50.811784,26.434926,10.95588,0,8.094233,159.953685,0.201797,0.285629,3.90218,0.861788,0.146577,1.160214,0.473656
2015-11-25 04:00:00.0,47.413598,10.025312,9.72639,0,28.217477,7.605472,0.568242,0.638951,2.541355,1.700326,0.540189,2.431935,13.860715
2015-11-25 04:15:00.0,9.975815,20.277999,3.892942,0,25.95812,9.603365,0.593859,0.245754,7.470477,0.58671,0.422011,8.444485,1.476212
2015-11-25 04:30:00.0,1.662129,5.354464,3.253403,0,0.270045,1.090453,0.334368,1.456465,0.578681,0.859417,0.221085,3.440096,0.415842
2015-11-25 04:45:00.0,0.274151,4.643041,6.443854,0,0.58842,5.65476,0.565278,6.875131,2.448485,0.413758,0.469586,0.629746,1.102768
2015-11-25 05:00:00.0,3.535967,6.174157,3.480868,0,3.561973,2.00186,0.336355,1.100104,0.480344,1.569079,0.327657,0.320046,18.408048
2015-11-25 05:15:00.0,3.875334,6.506797,32.858067,0,19.608196,24.077962,0.162072,0.159639,4.204343,0.743624,1.975289,0.585805,0.60967
